11:00:59.976> Logger                 : Log file: /home/kloskowski/Desktop/Python-skript/neuroConstruct_1.6.0/logs/Log_11-00-59_02-Sep-13.log created
11:00:59.977> Logger                 : -------------------------------------------------
11:00:59.977> Logger                 : 
11:00:59.996> ToolTipHelper          : file: /home/kloskowski/Desktop/Python-skript/neuroConstruct_1.6.0/docs/XML/glossary/Glossary.xml
11:01:00.703> MainFrame              : State change: -- Please select where to put NEURON code --
11:01:00.713> MainFrame              : State change: -- Please select where to put GENESIS script --
11:01:00.845> MainFrame              : ----------------    *  Refreshing all  *    ----------------
11:01:00.845> MainFrame              : Removing base3DPanel: null
11:01:01.050> MainFrame              : > Refreshing the Tab for 3D...
11:01:01.050> MainFrame              : Project is set to null...
11:01:01.050> MainFrame              : > Refreshing the general panel of the application...
11:01:01.050> MainFrame              : > Refreshing the menus...
11:01:01.051> RecentFiles            : RecentFiles: [/home/kloskowski/Desktop/Python-skript/Pyr_IB/Pyr_IB.ncx, /home/kloskowski/Desktop/Python-skript/Pyr_RS/Pyr_RS.ncx]
11:01:01.051> RecentFiles            : myLastMorphologiesDir: null
11:01:01.056> MainFrame              : > Refreshing the Tab for project info...
11:01:01.057> MainFrame              : Removed all...
11:01:01.057> MainFrame              : Tab updated: Project
11:01:01.057> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.057> MainFrame              : > Refreshing the general panel of the application...
11:01:01.058> MainFrame              : Tab updated: Project
11:01:01.058> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.058> MainFrame              : > Refreshing the general panel of the application...
11:01:01.059> MainFrame              : > Refreshing the Tab for region info...
11:01:01.061> RegionsInfo            : New RegionsInfo created
11:01:01.062> MainFrame              : > Refreshing the Tab for cell types...
11:01:01.063> MainFrame              : > Refreshing the Tab for cell group info...
11:01:01.066> MainFrame              : > Refreshing the Tab for CellMechanisms...
11:01:01.069> MainFrame              : > Refreshing the Tab for network settings...
11:01:01.072> NetworkConnectionsInfo : New NetworkConnectionsInfo created
11:01:01.075> ArbourConnectionsInfo  : New ArbourConnectionsInfo created
11:01:01.075> MainFrame              : > Refreshing the Tab for generating positions...
11:01:01.076> MainFrame              : > Refreshing the Tab for Input/Output...
11:01:01.079> MainFrame              : >>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Refreshing the Tab for Neuron...
11:01:01.079> MainFrame              : No project or project not initialised
11:01:01.079> MainFrame              : Tab updated: NEURON
11:01:01.080> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.080> MainFrame              : > Refreshing the general panel of the application...
11:01:01.080> MainFrame              : Tab updated: NEURON
11:01:01.080> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.080> MainFrame              : > Refreshing the general panel of the application...
11:01:01.081> MainFrame              : Tab updated: NEURON
11:01:01.081> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.081> MainFrame              : > Refreshing the general panel of the application...
11:01:01.084> MainFrame              : > Refreshing the Tab for GENESIS...
11:01:01.085> MainFrame              : > Refreshing the Tab for NeuroML...
11:01:01.085> MainFrame              : > Done refreshing the Tab for MorphML...
11:01:01.085> MainFrame              : >>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Refreshing the Tab for Neuron...
11:01:01.085> MainFrame              : No project or project not initialised
11:01:01.086> MainFrame              : Tab updated: NEURON
11:01:01.086> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.086> MainFrame              : > Refreshing the general panel of the application...
11:01:01.086> MainFrame              : Tab updated: NEURON
11:01:01.086> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.086> MainFrame              : > Refreshing the general panel of the application...
11:01:01.087> MainFrame              : Tab updated: NEURON
11:01:01.087> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.087> MainFrame              : > Refreshing the general panel of the application...
11:01:01.087> MainFrame              : Tab updated: NEURON
11:01:01.088> MainFrame              : Not updating stuff in that table, as the project is initialising...
11:01:01.088> MainFrame              : > Refreshing the general panel of the application...
11:01:01.088> MainFrame              : > Refreshing the Tab for GENESIS...
11:01:01.089> MainFrame              : > Refreshing the Tab for PSICS...
11:01:01.089> MainFrame              : > Refreshing the Tab for Pynn...
11:01:01.090> MainFrame              : > Refreshing the Tab for 3D...
11:01:01.090> MainFrame              : Project is set to null...
11:01:01.090> MainFrame              : ----------------    *  Done refreshing all  *    ----------------
11:01:04.428> MainFrame              : General Preferences menu item selected...
11:01:04.537> ToolTipHelper          : *** ERROR*** : The tool tip for : Minimum radius to display for 3D segments was not found...
11:01:04.538> ToolTipHelper          : *** ERROR*** : The tool tip for : Minimum radius to display for 3D segments was not found...
11:01:04.538> OptionsFrame           : Setting selected tab to: General Settings
11:01:09.127> OptionsFrame           : Event: java.awt.event.ActionEvent[ACTION_PERFORMED,cmd=Log to file,when=1378112469122,modifiers=Button1] on javax.swing.JCheckBox[,108,198,80x22,alignmentX=0.0,alignmentY=0.5,border=javax.swing.plaf.BorderUIResource$CompoundBorderUIResource@186d484,flags=296,maximumSize=,minimumSize=,preferredSize=,defaultIcon=,disabledIcon=,disabledSelectedIcon=,margin=javax.swing.plaf.InsetsUIResource[top=2,left=2,bottom=2,right=2],paintBorder=false,paintFocus=true,pressedIcon=,rolloverEnabled=true,rolloverIcon=,rolloverSelectedIcon=,selectedIcon=,text=Log to file]
11:01:10.995> OptionsFrame           : Save button pressed...
11:01:10.995> OptionsFrame           : Chucking preferences into GeneralProperties...
